sequence,HVU1_급기_온도,R_HVU1_급기_온도,HVU1_혼합_온도,R_HVU1_혼합_온도,외기온도,R_외기온도,HVU1_급기_습도,R_HVU1_급기_습도,HVU1_환기_온도,R_HVU1_환기_온도
604,14.19032097,15,27.66180229,28,24.11186028,26,32.41537476,30,29.04059029,29
605,15.16893387,16,26.91592598,28,30.95730209,32,30.80615807,28,27.03773689,27
606,14.26002407,15,25.02484512,26,27.08532715,28,31.61518288,29,28.12160492,28
607,16.16420746,17,28.3149395,30,26.08942032,27,32.41537476,31,28.12160492,28
608,14.26578236,16,25.90903282,26,30.03828621,30,32.41530991,30,30.72167969,31
609,16.14699554,17,27.90828705,29,25.09388161,25,32.41537476,31,30.76512146,31
610,15.16893387,16,30.38058281,32,30.0642662,31,31.60775948,29,27.19561005,27
611,15.22448349,16,25.90903282,27,26.08852768,27,32.40855408,30,30.45715332,31
612,15.17692852,16,26.15897942,27,25.0964489,26,31.60776711,29,29.22035027,29
613,16.16420746,17,30.78672028,32,26.0887146,27,34.04014969,31,29.23070908,29
614,15.09551525,16,27.44721794,29,26.0884819,28,32.41537476,30,29.92722702,30
615,16.12466431,17,26.45940781,28,29.07087517,31,34.04014969,32,29.91576767,31
616,14.27542019,15,29.88907814,30,23.43341446,24,33.22683334,31,29.70726776,30
617,16.16420746,17,29.13143349,31,26.08872032,27,32.41537476,30,28.88720894,29
618,12.73222446,13,30.99687958,32,25.09598541,26,31.60776711,29,29.15363312,29
619,15.26412868,16,30.16913605,31,33.83405304,35,31.60776711,29,27.13483429,27
620,15.16893387,15,26.91592598,28,29.08162117,29,31.60843277,29,29.05214882,29
621,14.32508945,15,31.74683189,33,24.11275291,26,30.80615616,28,29.04059029,29
622,14.27271366,15,28.2337265,29,30.03704071,31,34.85744095,33,30.76512146,30
623,14.30395412,15,25.90903282,27,28.11319733,29,32.41574097,30,31.4100132,32
624,13.46916008,14,28.88544846,30,30.05233765,30,33.22882462,31,30.82448769,31
625,13.4660759,15,28.43253708,30,27.08532715,27,31.60775948,29,29.79061127,30
626,12.93711662,14,29.46312523,31,31.94112778,34,30.80615616,28,26.12458229,26
627,16.16014862,17,27.49661064,29,28.08132362,29,32.41537476,30,28.10844994,28
628,16.16420746,17,28.99435616,30,31.89668274,33,32.41537476,30,28.10844994,28
629,16.16420746,16,32.59870529,34,28.07792473,29,30.80615616,29,31.34972382,32
630,14.51353931,15,27.90828705,29,28.11131477,30,31.60776711,29,28.10844994,29
631,16.08288956,17,27.90828705,28,31.07456589,32,34.85293198,33,28.29644203,28
632,15.16852665,16,31.52144051,33,31.02205086,33,34.04014969,32,32.79538345,34
633,16.16420746,17,29.21068954,30,33.01197433,34,33.22882462,31,32.80908966,34
634,15.16893387,16,26.91592598,29,26.03756714,29,32.41537476,30,28.12160492,28
635,15.16893387,16,26.96057129,28,26.08896065,27,32.41537476,30,28.10844994,28
636,14.26578236,15,27.26656342,28,30.97332764,33,32.41537476,31,33.58016968,35
637,16.16420746,17,28.35936737,29,31.97619629,32,31.60776711,30,27.13483429,27
638,16.16420746,17,26.15897942,27,25.09211731,27,33.22689056,31,31.54341888,33
639,15.09551525,15,27.49661064,29,28.08147049,29,31.60710716,29,29.04059029,29
640,15.16893387,16,29.512043,31,31.01969147,31,32.41537476,30,28.12808418,28
641,12.87129021,13,25.06545258,26,28.08451843,28,30.80615616,28,27.13483429,28
